precipitationFlag,zone2Minutes,trainingFatigueScore,sleepQuality,affectToday,affectTomorrow
1,40,40,70,4,0
0,68,48,71,6,4
1,20,50,64,4,6
0,67,54,68,7,4
0,46,54,66,6,7
1,30,60,63,4,6
1,37,69,58,3,4
1,49,74,59,5,3
0,36,67,57,5,5
0,60,70,62,5,5
0,27,65,58,5,5
1,38,70,60,4,5
0,61,70,61,6,4
1,40,73,59,4,6
0,54,74,56,5,4
0,37,66,59,6,5
0,52,67,63,6,6
0,54,70,61,5,6
1,23,67,57,3,5
0,65,74,58,6,3
1,18,73,55,2,6
0,66,74,60,5,2
1,22,74,55,4,5
1,34,79,54,3,4
1,43,81,57,4,3
0,53,80,59,7,4
0,56,79,59,5,7
0,59,79,58,5,5
0,36,70,56,5,5
0,51,74,60,5,5
1,34,75,56,4,5
1,37,77,57,3,4
0,55,81,56,7,3
0,56,81,56,6,7
0,46,79,55,6,6
0,68,82,57,6,6
0,51,82,53,5,6
0,31,73,59,5,5
0,46,68,56,5,5
0,84,75,61,7,5
0,36,71,58,5,7
1,39,75,58,4,5
1,41,81,53,3,4
0,71,83,60,6,3
1,47,86,54,5,6
1,26,82,51,4,5
0,36,79,54,6,4
0,26,70,54,4,6
0,58,71,60,6,4
0,57,70,62,6,6
0,60,72,61,7,6
0,54,72,59,5,7
1,15,68,56,3,5
0,56,68,63,6,3
1,28,68,59,4,6
1,13,66,58,3,4
0,57,65,65,6,3
0,52,66,58,5,6
0,51,64,64,7,5
0,41,61,63,6,7
0,40,61,65,4,6
0,40,59,63,6,4
0,58,58,67,5,6
1,45,63,61,4,5
0,64,67,60,6,4
0,43,66,59,6,6
0,45,63,63,6,6
0,48,66,61,5,6
0,58,66,63,5,5
0,50,69,59,4,5
0,74,79,59,5,4
0,51,77,57,5,5
1,37,80,52,4,5
0,80,84,58,6,4
0,62,80,58,6,6
0,77,83,60,6,6
0,62,84,55,6,6
0,70,85,54,6,6
0,44,80,55,4,6
1,11,77,52,2,4
0,64,79,57,5,2
0,65,81,61,6,5
1,35,81,55,4,6
0,70,82,57,6,4
0,64,86,55,6,6
0,59,84,57,4,6
1,20,80,50,3,4
0,44,76,58,5,3
0,43,73,59,5,5
0,44,72,58,6,5
0,55,74,58,6,6
0,52,71,58,6,6
0,51,68,61,6,6
0,28,61,60,6,6
0,58,65,61,5,6
0,60,67,63,6,5
0,58,69,63,6,6
0,36,61,63,6,6
0,43,57,64,6,6
1,52,66,61,4,6
1,30,67,57,5,4
0,76,75,60,7,5
0,63,77,61,6,7
1,39,80,55,3,6
1,31,80,52,5,3
1,51,86,54,5,5
0,55,85,53,6,5
0,56,81,56,6,6
0,77,86,57,6,6
1,31,85,50,4,6
0,46,79,57,6,4
0,34,73,58,6,6
0,67,76,58,5,6
0,59,77,60,6,5
0,53,74,58,6,6
1,28,73,56,3,6
